Titel,Fach,Art,Themen,Erstellt,Klasse,Zuletzt bearbeitet
Mitschriften,UNCO,Mitschrift,Cashflow,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Zusammenfassung,SWPP,Zusammenfassung,"C#, PHP, Laravel",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Winline,UNCO,Mitschrift,Zusammenfassung,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Volkswirtschaft,Volkswirtschaft,Mitschrift,"BIP, BNP, BSP, Konjunktur, Zentralbanken",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Band 1 – ZF,Betriebswirtschaft,Zusammenfassung,Band 1,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
"ZF: Band 1, 2 & 5",Betriebswirtschaft,Zusammenfassung,Band 1 + 2 + 5,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Band 1,Betriebswirtschaft,Zusammenfassung,"Wirtschaft, Unternehmen",18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Kostenrechnungen,UNCO,Zusammenfassung,"Teilkostenrechnung, …",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
"Abschluss, Kennzahlen",UNCO,Zusammenfassung,"Abschluss, Kennzahlen",18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Report,Englisch,Mitschrift,How to write a report?,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Ukraine-Konflikt,Recht,Mitschrift,Asylanträge,18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Rechtliche Grundlage der Betriebsgründung,Betriebswirtschaft,Zusammenfassung,"Rechtsformen, Firma, Firmenbuch, Prokura",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Fachklausur 2023 (gekürzt),Betriebswirtschaft,Zusammenfassung,Wichtigsten Themen,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Fachklausur 2023,Betriebswirtschaft,Zusammenfassung,Maturazusammenfassung,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Heiraten,Recht,Mitschrift,,18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Firewall,BUNW,Zusammenfassung,Firewall Zusammenfassung,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Kosten- und Preistheorie,Mathematik,Zusammenfassung,"Gewinnrechnung, Betriebsoptimum, …",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
"Privatrecht, Zivilrecht",Recht,Mitschrift,"Gesetzlicher Vertreter, Gesetze, Gewährung, Garantie",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
Band 3 - Teil 2,Betriebswirtschaft,Mitschrift,Mitschrift der wichtigsten Bereiche,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Mitarbeitskontrolle,Deutsch,Zusammenfassung,Baustein 6,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Betriebswirtschaftliche Fallstudien,EBC,Mitschrift,,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Bahnwärter Thiel,Deutsch,Mitschrift,Begriffe,18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
Marketing,Betriebswirtschaft,Zusammenfassung,"Buch 2, Seite 111-199",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Allgemeine Rechtskunde,Recht,Mitschrift,"Landes- und Bundesregierung, Gesetze, Gewaltenteilung, Parteien",18. Dezember 2023 21:18,"1. Semester, 4CHK",18. Dezember 2023 21:18
Lineare Funktion,Mathematik,Mitschrift,Eigenschaften und Beispiel,18. Dezember 2023 21:18,"2. Semester, 4CHK",18. Dezember 2023 21:18
Risikomanagement/Versicherung,Betriebswirtschaft,Zusammenfassung,"Risikomanagement, Versicherungsbetriebe",18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Unit 10 – Sectors,Englisch,Mitschrift,From raw material to the consumers,18. Dezember 2023 21:18,"1. Semester, 5CHK",18. Dezember 2023 21:18
Mitschriften,"🌏 IWK ",Mitschrift,"Stoff, Kulturerdkreise",18. Dezember 2023 21:18,"1. Semester, 2. Semester, 5CHK",18. Dezember 2023 21:18
Verträge (Kaufvertrag),Betriebswirtschaft,Zusammenfassung,Grundlagen,18. Dezember 2023 21:18,Matura,18. Dezember 2023 21:18
Kostenrechnung,UNCO,Zusammenfassung,"Zusammenfassung Bezugskalkulationen, …",18. Dezember 2023 21:18,"2. Semester, 5CHK",18. Dezember 2023 21:18
